country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,average_expenditure_per_capita,rating_by_capita
Bahrain,424.93597412,438.60971069,471.58297729,553.05438232,551.88983154,576.93890381,592.37512207,688.14367676,741.85961914,841.48144531,866.38623047,917.65301514,1030.84655762,1111.21826172,1123.62695313,1134.46166992,1111.42993164,1098.74328613,1049.0612793,1024.39050293,1105.3248291,1146.47277832,845.4766790213636,Moderate
"Bahamas, The",945.44030762,990.3112793,1013.73596191,1053.42016602,1067.91625977,1140.25158691,1242.34899902,1334.71789551,1410.8215332,1396.72705078,1421.59057617,1418.50854492,1492.44909668,1532.22961426,1590.94995117,1558.79882813,1698.39001465,2076.14160156,1898.81311035,1898.85632324,1824.87536621,1961.67785645,1453.1350874468187,High
Bosnia and Herzegovina,106.0,105.0,119.0,168.0,222.0,242.0,282.0,364.0,460.0,410.0,406.0,457.0,444.0,474.0,492.0,430.0,449.0,470.0,528.0,544.0,591.0,692.0,384.3181818181818,Low
Belarus,56.0,71.0,84.0,106.0,137.0,191.0,216.0,271.0,340.0,281.0,333.0,310.0,355.0,444.0,438.0,353.0,291.0,325.0,342.0,390.0,408.0,468.0,282.27272727272725,Low
Belize,138.36383057,163.64501953,173.12641907,175.18499756,176.04594421,180.72239685,195.48561096,232.77416992,256.6998291,242.08943176,242.6184082,251.19102478,246.298172,261.2244873,296.24938965,285.84985352,292.99127197,281.6338501,287.60293579,298.96051025,279.65802002,310.19500732,239.48229911045453,Low
Bolivia,42.95851135,44.91654968,43.48994827,46.37623215,46.29327393,51.6701889,55.93380737,63.45651245,77.74305725,89.26693726,99.99167633,119.23861694,134.63066101,159.08921814,178.20880127,194.92401123,205.92243958,212.87913513,229.22540283,239.17544556,246.19775391,272.95922852,129.75215495727272,Low
Brazil,310.61404419,268.64971924,245.66194153,250.3089447,294.3838501,383.5508728,483.91915894,600.63568115,705.13397217,719.42651367,893.77508545,1028.0847168,953.703125,977.81689453,1013.56842041,782.52294922,795.93798828,937.34289551,863.28173828,850.43286133,704.99536133,761.26776123,673.8642952663637,Moderate
Barbados,616.37762451,635.96447754,683.33959961,802.85565186,938.14080811,960.32305908,1026.78039551,1042.89624023,1136.86572266,1165.37597656,1116.53308105,1166.02197266,1298.25585938,1249.76574707,1179.06518555,1158.39306641,1185.16308594,1186.16967773,1173.62854004,1172.40539551,1238.5871582,1400.43579102,1069.6974598286363,Moderate
Brunei Darussalam,507.38867188,463.81585693,472.29974365,534.14123535,617.52166748,643.33483887,650.22094727,695.64990234,778.06066895,729.1307373,788.50030518,860.07781982,867.06188965,834.30914307,785.590271,732.39416504,681.97344971,639.91967773,753.81182861,674.65161133,650.47821045,693.40557861,684.2608281918182,Moderate
Bhutan,31.09416771,35.96975327,35.96072769,37.33245468,46.10057831,46.69151688,54.01427841,64.43791199,57.31074142,59.43021393,71.98933411,77.32337952,83.64318848,85.9859848,86.81033325,96.52057648,97.18308258,103.39090729,101.69933319,115.32080841,133.70314026,120.43117523,74.65198126772727,Low
